relay,temperature,overtemperature,energy,power
1,29.69,0,45206,0
1,29.69,0,45206,0
1,29.81,0,45206,0
1,29.81,0,45206,0
1,29.35,0,45206,0
1,29.35,0,45206,0
1,30.2,0,45206,0
1,30.2,0,45206,0
1,30.37,0,45206,0
1,30.37,0,45206,0
1,29.75,0,45206,0
1,29.75,0,45206,0
1,30.03,0,45206,0
1,30.03,0,45206,0
1,30.03,0,45206,0
1,30.03,0,45206,0
1,29.81,0,45206,0
1,29.81,0,45206,0
1,29.86,0,45206,0
1,29.86,0,45206,0
1,29.46,0,45206,0
1,29.46,0,45206,0
1,29.69,0,45206,0
1,29.69,0,45206,0
1,29.41,0,45206,0
1,29.41,0,45206,0
1,29.92,0,45206,0
1,29.92,0,45206,0
1,29.81,0,45206,0
1,29.81,0,45206,0
1,30.15,0,45206,0
1,30.15,0,45206,0
1,30.03,0,45206,0
1,30.03,0,45206,0
1,29.98,0,45206,0
1,29.98,0,45206,0
1,29.81,0,45206,0
1,29.81,0,45206,0
1,29.41,0,45206,0
1,29.41,0,45206,0
1,29.98,0,45206,0
1,29.98,0,45206,0
1,29.75,0,45206,0
1,29.75,0,45206,0
1,29.86,0,45206,0
1,29.86,0,45206,0
1,29.46,0,45206,0
1,29.46,0,45206,0
1,29.75,0,45206,0
1,29.75,0,45206,0
1,29.58,0,45206,0.32
1,29.58,0,45206,0.32
1,30.15,0,45206,0
1,30.15,0,45206,0
1,29.75,0,45206,0
1,29.75,0,45206,0
1,29.46,0,45206,0
1,29.46,0,45206,0
1,29.52,0,45206,0.38
1,29.52,0,45206,0.38
1,29.52,0,45206,0
1,29.52,0,45206,0
1,29.41,0,45206,0.39
1,29.41,0,45206,0.39
1,29.46,0,45206,0
1,29.46,0,45206,0
1,29.81,0,45206,0
1,29.81,0,45206,0
1,29.46,0,45206,0
1,29.46,0,45206,0
1,29.86,0,45206,0
1,29.86,0,45206,0
1,29.46,0,45206,0.4
1,29.46,0,45206,0.4
1,29.98,0,45206,0.32
1,29.98,0,45206,0.32
1,29.52,0,45206,0
1,29.52,0,45206,0
1,29.92,0,45206,0
1,29.92,0,45206,0
1,29.41,0,45206,0
1,29.41,0,45206,0
1,29.41,0,45206,0
1,29.41,0,45206,0
1,29.81,0,45206,0
1,29.81,0,45206,0
1,29.58,0,45206,0
1,29.58,0,45206,0
1,29.58,0,45206,0
1,29.58,0,45206,0
1,29.29,0,45206,0
1,29.29,0,45206,0
1,29.46,0,45206,0
1,29.46,0,45206,0
1,30.09,0,45206,0
1,30.09,0,45206,0
1,30.2,0,45206,0.34
1,30.2,0,45206,0.34
1,29.86,0,45206,0
1,29.86,0,45206,0
1,29.52,0,45206,0.38
1,29.52,0,45206,0.38
1,29.41,0,45206,0
1,29.41,0,45206,0
1,29.86,0,45206,0
1,29.86,0,45206,0
1,29.81,0,45206,0
1,29.81,0,45206,0
1,29.69,0,45206,0
1,29.69,0,45206,0
1,29.46,0,45206,0
1,29.46,0,45206,0
1,29.86,0,45206,0
1,29.86,0,45206,0
1,29.81,0,45206,0
1,29.81,0,45206,0
1,30.03,0,45206,0
1,30.03,0,45206,0
1,29.98,0,45206,0
1,29.98,0,45206,0
1,29.69,0,45206,0
1,29.69,0,45206,0
1,29.69,0,45206,0
1,29.69,0,45206,0
1,29.92,0,45206,0
1,29.92,0,45206,0
1,29.69,0,45206,0
1,29.69,0,45206,0
1,29.81,0,45206,0
1,29.81,0,45206,0
1,29.75,0,45206,0
1,29.75,0,45206,0
1,29.52,0,45206,0
1,29.52,0,45206,0
1,29.41,0,45206,0
1,29.41,0,45206,0
